iter	Passed	Remaining
464	752	865
465	753	863
466	754	861
467	755	859
468	757	857
469	758	855
470	760	853
471	761	851
472	762	849
473	763	847
474	765	845
475	766	844
476	768	842
477	769	840
478	770	838
479	772	837
480	774	835
481	775	833
482	776	831
483	778	829
484	779	827
485	780	825
486	781	823
487	783	821
488	784	819
489	786	818
490	787	816
491	788	814
492	790	813
493	792	811
494	793	809
495	795	807
496	796	806
497	797	804
498	799	802
499	801	801
500	802	799
501	805	798
502	807	797
503	808	795
504	810	794
505	811	792
506	812	790
507	814	788
508	815	787
509	817	785
510	818	783
511	820	781
512	822	780
513	823	778
514	824	776
515	826	774
516	827	773
517	828	771
518	830	769
519	831	767
520	832	765
521	834	763
522	835	762
523	837	760
524	838	758
525	840	757
526	841	755
527	843	754
528	845	752
529	846	750
530	848	749
531	849	747
532	851	745
533	852	744
534	854	742
535	855	740
536	857	739
537	858	737
538	860	735
539	861	733
540	862	732
541	864	730
542	865	728
543	866	726
544	867	724
545	868	722
546	870	720
547	871	718
548	872	716
549	873	714
550	874	712
551	875	710
552	877	708
553	878	707
554	879	705
555	880	703
556	881	701
557	882	699
558	883	697
559	884	695
560	885	693
561	887	691
562	888	689
563	889	687
564	890	685
565	891	683
566	892	681
567	893	679
568	895	678
569	896	676
570	898	674
571	899	672
572	900	670
573	901	669
574	903	667
575	904	665
576	905	663
577	906	661
578	908	660
579	909	658
580	910	656
581	911	654
582	913	653
583	914	651
584	915	649
585	916	647
586	917	645
587	918	643
588	920	642
589	921	640
590	922	638
591	924	637
592	925	635
593	926	633
594	928	631
595	929	629
596	930	627
597	931	626
598	932	624
599	934	622
600	935	621
601	936	619
602	938	617
603	939	615
604	940	614
605	941	612
606	943	610
607	944	608
608	945	606
609	946	605
610	947	603
611	948	601
612	949	599
613	951	597
614	952	596
615	953	594
616	955	592
617	956	591
618	957	589
619	958	587
620	959	585
621	960	583
622	962	582
623	963	580
624	964	578
625	965	576
626	967	575
627	968	573
628	969	571
629	970	570
630	972	568
631	974	567
632	975	565
633	976	563
634	978	562
635	979	560
636	981	559
637	983	558
638	986	557
639	988	555
640	989	554
641	991	552
642	992	551
643	994	549
644	995	548
645	997	546
646	998	544
647	1000	543
648	1001	541
649	1002	540
650	1004	538
651	1005	536
652	1007	535
653	1008	533
654	1009	531
655	1011	530
656	1012	528
657	1014	527
658	1015	525
659	1017	523
660	1018	522
661	1019	520
662	1021	519
663	1022	517
664	1024	515
665	1025	514
666	1027	513
667	1029	511
668	1030	509
669	1031	508
670	1033	506
671	1034	504
672	1035	503
673	1037	501
674	1038	499
675	1039	498
676	1041	496
677	1042	495
678	1043	493
679	1045	491
680	1046	490
681	1047	488
682	1049	486
683	1050	485
684	1052	483
685	1053	482
686	1055	480
687	1056	479
688	1057	477
689	1059	475
690	1060	474
691	1061	472
692	1062	470
693	1063	469
694	1065	467
695	1066	465
696	1067	464
697	1068	462
698	1070	460
699	1071	459
700	1072	457
701	1073	455
702	1075	454
703	1076	452
704	1078	451
705	1079	449
706	1080	447
707	1081	446
708	1082	444
709	1083	442
710	1085	441
711	1086	439
712	1088	438
713	1089	436
714	1091	434
715	1092	433
716	1093	431
717	1095	430
718	1096	428
719	1098	427
720	1099	425
721	1101	424
722	1102	422
723	1104	420
724	1105	419
725	1106	417
726	1108	416
727	1109	414
728	1110	412
729	1111	411
730	1113	409
731	1114	408
732	1116	406
733	1117	404
734	1118	403
735	1119	401
736	1120	400
737	1122	398
738	1123	396
739	1124	395
740	1125	393
741	1127	391
742	1128	390
743	1130	388
744	1131	387
745	1132	385
746	1133	383
747	1134	382
748	1135	380
749	1136	378
750	1137	377
751	1138	375
752	1140	373
753	1141	372
754	1143	370
755	1144	369
